"importer_iso3","EPPO_reporting_service"
"ABW",4
"AFG",2
"AGO",6
"ALB",39
"AND",1
"ARE",16
"ARG",80
"ARM",15
"ASM",2
"ATG",8
"AUS",128
"AUT",174
"AZE",6
"BDI",7
"BEL",150
"BEN",12
"BFA",9
"BGD",10
"BGR",106
"BHR",4
"BHS",10
"BIH",44
"BLR",35
"BLZ",12
"BMU",13
"BOL",17
"BRA",201
"BRB",11
"BRN",1
"BTN",10
"BWA",3
"CAF",1
"CAN",204
"CHE",222
"CHL",59
"CHN",279
"CIV",10
"CMR",7
"COD",5
"COG",4
"COK",2
"COL",37
"COM",1
"CPV",1
"CRI",33
"CUB",27
"CYM",2
"CYP",84
"CZE",152
"DEU",319
"DMA",14
"DNK",63
"DOM",23
"DZA",124
"ECU",24
"EGY",53
"ERI",1
"ESP",772
"EST",74
"ETH",18
"FIN",161
"FJI",1
"FRA",670
"FSM",5
"GAB",3
"GBR",355
"GEO",51
"GGY",12
"GHA",6
"GIN",5
"GLP",41
"GMB",2
"GNB",2
"GNQ",1
"GRC",175
"GRD",10
"GTM",19
"GUF",23
"GUM",5
"GUY",8
"HKG",3
"HND",21
"HRV",127
"HTI",4
"HUN",245
"IDN",19
"IND",132
"IRL",61
"IRN",91
"IRQ",14
"ISL",1
"ISR",185
"ITA",812
"JAM",18
"JEY",13
"JOR",34
"JPN",155
"KAZ",24
"KEN",26
"KGZ",14
"KHM",1
"KNA",10
"KOR",66
"KWT",3
"LAO",7
"LBN",51
"LBR",1
"LBY",19
"LCA",10
"LKA",14
"LSO",4
"LTU",127
"LUX",4
"LVA",81
"MAC",6
"MAR",68
"MCO",1
"MDA",24
"MDG",5
"MDV",1
"MEX",144
"MHL",1
"MKD",8
"MLI",7
"MLT",59
"MMR",6
"MNE",30
"MNG",1
"MNP",2
"MOZ",6
"MRT",4
"MSR",4
"MTQ",34
"MUS",15
"MWI",2
"MYS",8
"MYT",11
"NAM",1
"NCL",13
"NER",4
"NFK",1
"NGA",15
"NIC",20
"NLD",311
"NOR",92
"NPL",11
"NRU",6
"NZL",183
"OMN",20
"PAK",32
"PAN",12
"PER",25
"PHL",4
"PLW",2
"PNG",12
"POL",134
"PRI",27
"PRK",2
"PRT",191
"PRY",12
"PSE",2
"PYF",7
"QAT",2
"REU",25
"ROU",102
"RUS",279
"RWA",6
"SAU",34
"SDN",18
"SEN",5
"SGP",1
"SHN",1
"SLB",3
"SLE",3
"SLV",5
"SOM",5
"SRB",67
"SSD",1
"STP",2
"SUR",8
"SVK",159
"SVN",154
"SWE",118
"SWZ",8
"SYC",3
"SYR",32
"TCD",2
"TGO",9
"THA",11
"TJK",10
"TKM",2
"TLS",2
"TON",2
"TTO",21
"TUN",85
"TUR",200
"TWN",45
"TZA",15
"UGA",16
"UKR",81
"URY",11
"USA",784
"UZB",14
"VCT",8
"VEN",34
"VIR",2
"VNM",29
"VUT",1
"YEM",17
"ZAF",79
"ZMB",6
"ZWE",7
